TERYT;PROVINCE;NAME;REG_VOTERS;VOTES;VOTES_SPOIL;V_KO;V_LEWICA;V_POLEXIT;V_JEDN;V_PIS;V_WIOSNA;V_KORWIN;V_KUKIZ;V_GWIA
20101;Dolnoslaskie;m. Boles³awiec;30273;13638;90;6408;154;;;4875;892;725;494;
20102;Dolnoslaskie;gm. Boles³awiec;11166;4397;31;1536;46;;;2060;237;271;216;
20103;Dolnoslaskie;gm. Gromadka;4376;1612;32;454;17;;;881;76;91;61;
20104;Dolnoslaskie;gm. Nowogrodziec;11854;3923;61;980;53;;;2236;197;225;171;
20105;Dolnoslaskie;gm. Osiecznica;5369;1856;36;614;44;;;797;131;135;99;
20106;Dolnoslaskie;gm. Warta Boles³awiecka;6725;2337;20;709;33;;;1201;140;131;103;
20201;Dolnoslaskie;m. Bielawa;24226;9668;71;3975;125;;;4027;657;460;353;
20202;Dolnoslaskie;m. Dzier¿oniów;26216;11989;100;5261;145;;;4660;834;592;397;
20203;Dolnoslaskie;m. Pieszyce;7572;2858;27;1004;36;;;1323;205;165;98;
20204;Dolnoslaskie;m. Pi³awa Górna;5039;1875;11;585;29;;;940;117;127;66;
20205;Dolnoslaskie;gm. Dzier¿oniów;7454;3004;45;891;38;;;1604;172;119;135;
20206;Dolnoslaskie;gm. £agiewniki;6018;2259;22;616;21;;;1283;103;116;98;
20207;Dolnoslaskie;gm. Niemcza;4482;1555;19;552;23;;;766;82;63;50;
20301;Dolnoslaskie;m. G³ogów;52081;23833;162;9926;340;;;9984;1462;1014;945;
20302;Dolnoslaskie;gm. G³ogów;5325;2342;18;794;29;;;1138;150;98;115;
20303;Dolnoslaskie;gm. Jerzmanowa;3885;1791;11;697;28;;;773;118;88;76;
20304;Dolnoslaskie;gm. Kotla;3412;1195;19;310;20;;;662;81;47;56;
20305;Dolnoslaskie;gm. Pêc³aw;1745;630;18;128;12;;;417;12;23;20;
20306;Dolnoslaskie;gm. ¯ukowice;2707;954;17;259;13;;;496;61;58;50;
20401;Dolnoslaskie;gm. Góra;15662;5400;49;2020;68;;;2548;306;211;198;
20402;Dolnoslaskie;gm. Jemielno;2426;762;10;199;10;;;443;36;37;27;
20403;Dolnoslaskie;gm. Niechlów;3841;1215;23;288;17;;;756;43;50;38;
20404;Dolnoslaskie;gm. W¹sosz;5801;1907;36;586;29;;;947;146;72;91;
20501;Dolnoslaskie;m. Jawor;18570;7896;55;3079;93;;;3529;456;375;309;
20502;Dolnoslaskie;gm. Bolków;8369;3036;56;1104;36;;;1342;228;136;134;
20503;Dolnoslaskie;gm. Mêcinka;3957;1462;14;378;12;;;846;83;68;61;
20504;Dolnoslaskie;gm. Mœciwojów;3247;1218;17;411;20;;;606;84;44;36;
20505;Dolnoslaskie;gm. Paszowice;3222;1249;14;423;13;;;605;64;67;63;
20506;Dolnoslaskie;gm. W¹dro¿e Wielkie;3241;1173;12;405;10;;;610;53;36;47;
20601;Dolnoslaskie;m. Karpacz;4291;2079;18;1195;33;;;530;153;100;50;
20602;Dolnoslaskie;m. Kowary;8508;3384;30;1619;95;;;1102;259;169;110;
20603;Dolnoslaskie;m. Piechowice;4989;2148;17;1048;27;;;684;167;127;78;
20604;Dolnoslaskie;m. Szklarska Porêba;5226;2410;26;1187;30;;;787;198;87;95;
20605;Dolnoslaskie;gm. Janowice Wielkie;3438;1395;17;672;19;;;457;107;73;50;
20606;Dolnoslaskie;gm. Je¿ów Sudecki;5785;2534;29;1302;33;;;739;218;124;89;
20607;Dolnoslaskie;gm. Mys³akowice;7999;3338;36;1517;85;;;1192;259;137;112;
20608;Dolnoslaskie;gm. Podgórzyn;6544;2729;30;1338;95;;;869;199;118;80;
20609;Dolnoslaskie;gm. Stara Kamienica;4197;1534;24;630;23;;;575;157;70;55;
20701;Dolnoslaskie;m. Kamienna Góra;15590;6197;51;2772;88;;;2451;401;244;190;
20702;Dolnoslaskie;gm. Kamienna Góra;6988;2728;34;1037;53;;;1235;138;99;132;
20703;Dolnoslaskie;gm. Lubawka;8850;3416;37;1487;40;;;1298;291;127;136;
20704;Dolnoslaskie;gm. Marciszów;3622;1229;8;466;16;;;582;51;62;44;
20801;Dolnoslaskie;m. Duszniki-Zdrój;4004;1825;12;845;26;;;687;106;107;42;
20802;Dolnoslaskie;m. K³odzko;21744;9397;64;4418;96;;;3499;518;447;355;
20803;Dolnoslaskie;m. Kudowa-Zdrój;8419;3867;35;1780;38;;;1529;180;178;127;
