code;region;time;total - previous period = 100;food and non-alcoholic beverages - previous period = 100;alcoholic beverages, tobacco - previous period = 100;clothing and footwear - previous period = 100;dwelling - previous period = 100;health - previous period = 100;transport - previous period = 100;recreation and culture - previous period = 100;education - previous period = 100;total - corresponding period of previous year = 100;food and non-alcoholic beverages - corresponding period of previous year = 100;alcoholic beverages, tobacco - corresponding period of previous year = 100;clothing and footwear - corresponding period of previous year = 100;dwelling - corresponding period of previous year = 100;health - corresponding period of previous year = 100;transport - corresponding period of previous year = 100;recreation and culture - corresponding period of previous year = 100;education - corresponding period of previous year = 100
0200000;DOLNOŒL¥SKIE;I quarter;101,3;103,3;100,7;94,2;101,0;101,0;102,6;101,4;100,2;102,0;103,3;101,6;92,5;101,3;101,2;110,8;99,2;101,0
0400000;KUJAWSKO-POMORSKIE;I quarter;101,1;103,3;100,9;93,0;100,9;100,7;101,5;101,2;100,3;101,9;103,2;102,0;94,7;100,9;100,3;109,7;99,3;100,7
0600000;LUBELSKIE;I quarter;101,1;102,9;100,4;95,7;100,9;101,2;102,3;100,5;100,2;102,2;103,6;100,5;96,5;101,1;101,2;110,5;97,6;102,7
0800000;LUBUSKIE;I quarter;101,2;103,0;101,2;95,5;100,7;101,7;102,0;101,0;100,0;102,2;102,9;101,5;98,5;101,2;102,0;108,4;98,8;100,6
1000000;£ÓDZKIE;I quarter;101,1;103,6;100,6;93,2;101,1;100,7;101,9;101,8;100,1;102,1;103,7;101,9;93,7;101,4;100,6;108,8;100,3;101,4
1200000;MA£OPOLSKIE;I quarter;101,2;103,2;100,4;95,9;100,8;101,3;102,3;101,0;99,9;102,0;103,0;100,1;96,6;101,0;102,1;110,9;99,8;99,3
1400000;MAZOWIECKIE;I quarter;101,0;103,6;100,5;94,4;100,6;100,5;101,4;101,4;100,0;101,8;103,1;101,5;95,0;101,0;100,5;108,3;101,6;101,0
1600000;OPOLSKIE;I quarter;101,2;103,2;100,6;93,3;101,3;100,4;101,4;102,7;100,5;102,2;103,8;101,5;92,5;102,1;100,9;107,1;99,6;100,6
1800000;PODKARPACKIE;I quarter;101,0;102,8;100,6;95,7;100,4;100,5;102,6;101,4;100,0;102,1;103,4;101,1;95,3;100,4;100,7;112,6;99,4;101,7
2000000;PODLASKIE;I quarter;101,3;103,1;100,4;95,5;101,2;100,8;102,5;101,2;100,3;102,0;102,8;100,0;95,6;101,0;100,3;112,4;100,7;100,7
2200000;POMORSKIE;I quarter;101,0;103,0;100,8;93,9;100,6;101,3;101,4;101,2;100,3;102,1;104,0;101,3;93,8;101,0;100,7;109,9;100,2;102,3
2400000;ŒL¥SKIE;I quarter;101,0;103,1;100,7;93,2;100,9;100,9;101,9;101,1;100,0;101,7;103,4;101,3;92,4;101,2;101,0;108,9;99,6;100,4
2600000;ŒWIÊTOKRZYSKIE;I quarter;101,0;103,0;100,5;92,4;101,4;100,8;101,9;101,7;100,0;102,3;103,7;101,2;93,8;102,2;100,5;110,7;99,8;101,5
2800000;WARMIÑSKO-MAZURSKIE;I quarter;100,8;102,8;100,0;93,1;100,9;100,6;101,3;101,2;100,3;101,7;103,6;101,1;92,3;101,4;100,5;108,0;99,6;102,4
